,coord,country,id,name
122276,"{'lon': 4.08573, 'lat': 51.105721}",BE,2784231,Waasmunster
103113,"{'lon': 50.51667, 'lat': 26.22139}",BH,290240,Ḩillat ‘Abd aş Şāliḩ
130130,"{'lon': 111.666107, 'lat': 25.31278}",CN,6422517,Jingtang
90993,"{'lon': -49.58083, 'lat': -21.16667}",BR,3457243,Mendonça
209176,"{'lon': 27.15, 'lat': -17.366671}",ZM,908718,Maamba
143504,"{'lon': -1.37975, 'lat': 41.062092}",ES,6361608,San Martín del Río
53889,"{'lon': -8.33308, 'lat': 41.359241}",PT,8012897,Vilarinho
20905,"{'lon': 37.339722, 'lat': 55.651669}",RU,533492,Lukino
98195,"{'lon': 22.76667, 'lat': 48.150002}",UA,688746,Vynohradiv
181394,"{'lon': 3.83611, 'lat': 51.278332}",NL,2747109,Sluiskil
63295,"{'lon': 11.565, 'lat': 52.025139}",DE,2824893,Sülldorf
192971,"{'lon': 14.11667, 'lat': 56.283329}",SE,2706323,Hittarp
107714,"{'lon': -3.38333, 'lat': 56.450001}",GB,2638742,Saint Martins
137826,"{'lon': 12.06667, 'lat': 51.51667}",DE,2945151,Braschwitz
80554,"{'lon': 13.73333, 'lat': 52.25}",DE,2913466,Gussow
64483,"{'lon': 9.66667, 'lat': 52.23333}",DE,2951019,Bennigsen
25394,"{'lon': 106.961937, 'lat': 52.071671}",RU,2015563,Tarakanovka
184565,"{'lon': 122.141113, 'lat': 6.94722}",PH,1705174,Lumbayan
60845,"{'lon': -66.924622, 'lat': 18.439671}",PR,4567734,Quebradillas Municipio
47169,"{'lon': -0.9591000000000001, 'lat': 43.592178}",FR,2993690,Misson
207475,"{'lon': -123.317047, 'lat': 44.919281}",US,5722064,Dallas
14219,"{'lon': 24.92515, 'lat': 60.172981}",FI,660083,Etu-Töölö
62587,"{'lon': 9.76667, 'lat': 47.76667}",DE,2843298,Ruggen
205109,"{'lon': -76.141602, 'lat': 40.812592}",US,5199494,Mahanoy City
120041,"{'lon': 12.1, 'lat': 51.083328}",DE,2822881,Theissen
172068,"{'lon': 14.5, 'lat': 37.099998}",IT,2523396,San Pietro
94751,"{'lon': 7.26434, 'lat': 46.051361}",CH,2659844,Lourtier
12066,"{'lon': -74.222923, 'lat': 11.19321}",CO,3682254,Gaira
187007,"{'lon': 21.42197, 'lat': 51.691181}",PL,759875,Ryczywol
160117,"{'lon': -0.46846000000000004, 'lat': 52.685848}",GB,2638902,Ryhall
100470,"{'lon': 25.616671, 'lat': 43.183331}",BG,6460836,Polikraishhe
107165,"{'lon': -31.116671, 'lat': 39.450001}",PT,3372643,Santa Cruz das Flores
180447,"{'lon': -96.666672, 'lat': 16.316669}",MX,3517519,Santa Cruz Xitla
37724,"{'lon': 145.199997, 'lat': -37.98333}",AU,2169455,Dandenong West
144210,"{'lon': -1.25038, 'lat': 41.688202}",ES,6362898,Plasencia de Jalón
145923,"{'lon': -3.63378, 'lat': 42.188931}",ES,6356453,Hontoria de la Cantera
111033,"{'lon': -3.77786, 'lat': 38.09639}",ES,2521410,Bailen
34725,"{'lon': 49.981899, 'lat': 57.1091}",RU,7869236,Petryayevo
175359,"{'lon': 12.30046, 'lat': 42.623032}",IT,3175714,Guardea
57542,"{'lon': -113.418716, 'lat': 53.83345}",CA,5905348,Bon Accord
22060,"{'lon': 38.057777, 'lat': 55.251945}",RU,548168,Kishkino
184737,"{'lon': 119.407501, 'lat': 4.7613900000000005}",PH,1707236,Larap
57088,"{'lon': -78.682861, 'lat': 43.916821}",CA,5906831,Bowmanville
125724,"{'lon': 103.029823, 'lat': 25.325109}",CN,1793961,Songyang
171486,"{'lon': 82.466667, 'lat': 26.799999}",IN,1270391,Haraiya
75608,"{'lon': 6.71667, 'lat': 49.666672}",DE,2857316,Ollmuth
83069,"{'lon': -4.31222, 'lat': 42.5555}",ES,6360045,Herrera de Pisuerga
170266,"{'lon': 111.634201, 'lat': -6.7485}",ID,8074567,Krajandadapmulyo
91738,"{'lon': -49.337502, 'lat': -22.455561}",BR,3468600,Cabrália Paulista
113521,"{'lon': 139.559631, 'lat': 35.68351}",JP,1856942,Mitaka-shi
